method,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
action_equivalence_invariance_audit_v5,0.786042,0.004958,0.609762,0.004641,0.806667,0.003489,0.663274,0.005073,0.039018,0.00248,0.018869,0.001448,0.014524,0.001584,0.010744,0.001139,0.015655,0.001161,0.041607,0.002965,0.201964,0.003712,0.660149,0.005243,0.68006,0.004798,0.794226,0.004583,0.030476,0.001069,0.125833,0.004778,0.878511,0.003872,10
affordance_graph_verifier,0.670327,0.004867,0.453631,0.003221,0.599315,0.005215,0.509077,0.004076,0.111756,0.003515,0.059137,0.001442,0.040387,0.002261,0.036577,0.001326,0.058571,0.002081,0.089821,0.002673,0.183988,0.003974,0.492679,0.006124,0.492232,0.007348,0.611607,0.004138,0.103512,0.002187,0.219226,0.006717,0.724912,0.004635,10
aggressive_augmentation_policy,0.568125,0.005512,0.532083,0.004875,0.258065,0.004439,0.370208,0.005644,0.236726,0.004069,0.106458,0.00206,0.089583,0.001643,0.065804,0.002515,0.128661,0.002232,0.134315,0.003068,0.160536,0.002882,0.61619,0.007666,0.232113,0.005368,0.108423,0.00291,0.271845,0.003525,0.310089,0.007809,0.529733,0.005641,10
causal_representation_proxy,0.634643,0.003099,0.475298,0.003875,0.528125,0.007319,0.483393,0.005767,0.145357,0.0049,0.068452,0.003976,0.055714,0.002149,0.040952,0.002444,0.074851,0.001892,0.097173,0.002835,0.179167,0.00285,0.525149,0.004854,0.453274,0.007027,0.502351,0.00396,0.142113,0.003703,0.24872,0.006451,0.669514,0.003116,10
conformal_shift_filter,0.644851,0.003089,0.439554,0.005287,0.558185,0.005028,0.495417,0.005672,0.127411,0.004172,0.052708,0.0016,0.049673,0.002235,0.035417,0.002251,0.04756,0.001824,0.08122,0.002727,0.211101,0.003735,0.464464,0.004687,0.467827,0.006806,0.574911,0.002587,0.115625,0.003475,0.240923,0.005419,0.692375,0.003345,10
contact_frame_verifier,0.667798,0.004823,0.465238,0.006013,0.598601,0.002948,0.509494,0.005021,0.114524,0.00278,0.05006,0.002598,0.050714,0.001486,0.037262,0.002344,0.06131,0.002917,0.090655,0.003145,0.182976,0.00317,0.503601,0.005283,0.485089,0.005693,0.596696,0.003783,0.109167,0.002587,0.221429,0.00507,0.721461,0.004547,10
contrastive_invariance_learner,0.607113,0.005696,0.52619,0.005111,0.39881,0.003089,0.438095,0.005786,0.191786,0.004183,0.088482,0.001946,0.071101,0.002801,0.052173,0.001905,0.097708,0.003291,0.111845,0.002325,0.168095,0.003043,0.59875,0.004354,0.353333,0.003788,0.302381,0.004106,0.204018,0.005106,0.274345,0.007742,0.607628,0.00579,10
domain_randomization,0.595685,0.006753,0.507857,0.003754,0.402054,0.004837,0.434494,0.005501,0.186071,0.003448,0.087946,0.004202,0.070923,0.001183,0.052411,0.002752,0.097173,0.002636,0.111786,0.002519,0.165774,0.002978,0.572619,0.003702,0.345744,0.005204,0.316935,0.00428,0.199583,0.003462,0.285595,0.007313,0.597496,0.006899,10
ensemble_disagreement_filter,0.637768,0.00324,0.421726,0.005187,0.543571,0.005736,0.479256,0.006662,0.127887,0.002522,0.057024,0.00272,0.052708,0.003265,0.036964,0.001869,0.052113,0.002292,0.083988,0.00249,0.208542,0.004471,0.454762,0.004335,0.458482,0.00538,0.562679,0.003434,0.123185,0.004448,0.248244,0.00568,0.680788,0.002994,10
equivariant_policy,0.58256,0.004711,0.502411,0.004982,0.345982,0.005022,0.404702,0.003763,0.209524,0.006472,0.094554,0.002914,0.079167,0.002541,0.058512,0.003242,0.110357,0.002205,0.125714,0.003195,0.163274,0.003849,0.579256,0.005553,0.314613,0.004304,0.24625,0.004704,0.229881,0.003977,0.295655,0.006145,0.568132,0.004603,10
invariant_risk_minimization_proxy,0.60003,0.005157,0.479107,0.005597,0.441607,0.004029,0.447411,0.005389,0.175298,0.003804,0.080863,0.002833,0.065506,0.00303,0.046071,0.002416,0.086815,0.001981,0.102798,0.003455,0.171548,0.003951,0.532351,0.005056,0.37619,0.005049,0.38625,0.004491,0.184137,0.00369,0.280923,0.007208,0.612746,0.00514,10
no_invariance_behavior_clone,0.553512,0.004483,0.24369,0.003977,0.482976,0.00562,0.387054,0.006488,0.162917,0.003856,0.089792,0.002261,0.07119,0.003316,0.049167,0.002461,0.086101,0.002036,0.110446,0.003336,0.166637,0.004282,0.258155,0.003812,0.35622,0.00457,0.562917,0.005657,0.142887,0.003415,0.322173,0.007433,0.574095,0.003634,10
oracle_invariance_validity_supervisor,0.865208,0.006339,0.689137,0.007682,0.868065,0.003457,0.712589,0.00523,0.014315,0.001139,0.006339,0.000843,0.007768,0.001171,0.003958,0.000609,0.002202,0.00041,0.032054,0.002751,0.196756,0.004378,0.747738,0.004282,0.727173,0.003808,0.831756,0.003314,0.013988,0.00117,0.0,0.0,0.948262,0.003657,10
physics_consistency_classifier,0.671042,0.006513,0.469911,0.004017,0.61631,0.004154,0.518869,0.00542,0.110268,0.00177,0.052351,0.002609,0.044583,0.002179,0.032946,0.002629,0.052083,0.001364,0.084077,0.003358,0.184345,0.006289,0.505833,0.005938,0.506756,0.005349,0.620417,0.004271,0.101161,0.002622,0.218482,0.008718,0.729436,0.00656,10
proposed_physical_invariance_audit_v4,0.737917,0.005602,0.577738,0.006009,0.736101,0.004759,0.613423,0.00799,0.065,0.002971,0.030714,0.002681,0.025923,0.001459,0.018571,0.00124,0.03131,0.002397,0.057054,0.003309,0.191935,0.00287,0.630357,0.007023,0.610357,0.004807,0.713185,0.003945,0.055387,0.002456,0.164256,0.003841,0.821089,0.004599,10
test_time_augmentation_voting,0.593899,0.005967,0.536339,0.006356,0.355327,0.005546,0.419018,0.00639,0.202917,0.002488,0.092173,0.00291,0.07997,0.002758,0.053988,0.002568,0.106815,0.003196,0.117679,0.002148,0.16869,0.003312,0.611399,0.004637,0.312768,0.005109,0.239315,0.004811,0.229494,0.004324,0.286339,0.008479,0.582567,0.005982,10
