method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
action_equivalence_invariance_audit_v5,0,0.794048,0.013629,0.61131,0.016162,0.805357,0.012634,0.652381,0.015687,0.036607,0.006178,0.017857,0.004506,0.015179,0.00406,0.011607,0.003706,0.016369,0.004353,0.041667,0.006528,0.199702,0.014049,0.646429,0.016655,0.668155,0.016253,0.789881,0.01406,0.028571,0.005586,0.116964,0.013097,0.885098,0.011295,560
action_equivalence_invariance_audit_v5,1,0.793452,0.013491,0.602679,0.015952,0.803571,0.013917,0.668155,0.016482,0.040774,0.006796,0.021429,0.005048,0.016667,0.004462,0.011607,0.003706,0.015476,0.004337,0.04375,0.006769,0.19375,0.013136,0.661607,0.015519,0.685714,0.015761,0.795536,0.013545,0.029167,0.005978,0.116667,0.01238,0.884513,0.010854,560
action_equivalence_invariance_audit_v5,2,0.790179,0.013908,0.597917,0.016899,0.808631,0.013526,0.672321,0.015843,0.040179,0.00672,0.016369,0.004507,0.011012,0.003432,0.011012,0.003432,0.014881,0.004191,0.044345,0.006892,0.20744,0.014127,0.665179,0.01585,0.688393,0.015595,0.798512,0.014116,0.030952,0.006253,0.116369,0.012818,0.882518,0.01165,560
action_equivalence_invariance_audit_v5,3,0.774405,0.01442,0.608036,0.017297,0.810714,0.013207,0.670536,0.0153,0.038988,0.006352,0.016964,0.004416,0.016369,0.004353,0.01131,0.003475,0.016071,0.004477,0.041369,0.00667,0.195833,0.013452,0.652976,0.016246,0.689583,0.015973,0.796131,0.013953,0.03006,0.00609,0.127381,0.012962,0.868707,0.012287,560
action_equivalence_invariance_audit_v5,4,0.790476,0.014384,0.601488,0.017587,0.813393,0.013146,0.666964,0.015764,0.037202,0.00653,0.020536,0.004832,0.017857,0.00443,0.01131,0.003475,0.012798,0.004198,0.040774,0.00654,0.207738,0.013668,0.660417,0.016619,0.66875,0.016357,0.79256,0.014319,0.033036,0.00658,0.125,0.013479,0.88068,0.012064,560
action_equivalence_invariance_audit_v5,5,0.788988,0.01366,0.608631,0.016872,0.796726,0.013185,0.665476,0.016306,0.042262,0.007431,0.023214,0.005128,0.016369,0.004194,0.006845,0.002742,0.01369,0.004054,0.05119,0.007273,0.20744,0.014031,0.671429,0.016197,0.675595,0.015296,0.79256,0.014295,0.031845,0.005855,0.12381,0.012344,0.881537,0.011625,560
action_equivalence_invariance_audit_v5,6,0.782738,0.014496,0.622024,0.016178,0.809226,0.01315,0.650595,0.015998,0.036012,0.006257,0.01994,0.004778,0.01369,0.003883,0.013988,0.003919,0.016667,0.004226,0.041071,0.006859,0.204464,0.013545,0.653869,0.01649,0.684821,0.015886,0.811607,0.013282,0.027381,0.005806,0.13244,0.013047,0.874638,0.012285,560
action_equivalence_invariance_audit_v5,7,0.79256,0.013611,0.614881,0.016616,0.801488,0.013423,0.666369,0.015524,0.041071,0.006908,0.01875,0.004951,0.01369,0.003883,0.010417,0.003445,0.016964,0.004714,0.0375,0.006169,0.208631,0.013486,0.653274,0.016174,0.684524,0.015856,0.787798,0.014411,0.030952,0.005974,0.127381,0.012562,0.883942,0.011605,560
action_equivalence_invariance_audit_v5,8,0.781845,0.01408,0.615774,0.016231,0.802976,0.012784,0.652381,0.015556,0.045833,0.007094,0.017262,0.004597,0.009821,0.003357,0.009821,0.003254,0.014286,0.004286,0.03244,0.006005,0.19375,0.013342,0.672321,0.015318,0.676488,0.015525,0.793452,0.014157,0.030655,0.00629,0.133333,0.012892,0.873937,0.011934,560
action_equivalence_invariance_audit_v5,9,0.771726,0.013498,0.614881,0.01618,0.814583,0.012976,0.66756,0.016085,0.03125,0.00616,0.016369,0.004353,0.014583,0.004075,0.009524,0.003413,0.019345,0.004651,0.041964,0.006644,0.200893,0.013834,0.663988,0.01644,0.678571,0.01583,0.784226,0.014258,0.032143,0.0061,0.138988,0.012997,0.869543,0.011445,560
affordance_graph_verifier,0,0.681548,0.015552,0.458036,0.016301,0.604762,0.015761,0.505952,0.016152,0.109524,0.010863,0.059524,0.008144,0.036607,0.006553,0.034524,0.006288,0.059226,0.008096,0.08631,0.009228,0.174702,0.012734,0.483631,0.017118,0.50625,0.017204,0.609226,0.016581,0.099107,0.011808,0.202679,0.015956,0.73719,0.015555,560
affordance_graph_verifier,1,0.68125,0.015565,0.464286,0.017005,0.591369,0.017069,0.499107,0.017211,0.114881,0.011588,0.060417,0.007993,0.038095,0.006625,0.038095,0.006416,0.057143,0.008052,0.09881,0.010199,0.18125,0.012532,0.479464,0.015931,0.499405,0.017824,0.612798,0.016704,0.100298,0.010545,0.213095,0.016017,0.734134,0.015651,560
affordance_graph_verifier,2,0.660714,0.016236,0.448214,0.016554,0.605357,0.016433,0.502976,0.016758,0.111607,0.012273,0.05744,0.008471,0.034524,0.006233,0.035119,0.006426,0.0625,0.008405,0.087798,0.009832,0.18125,0.012801,0.501786,0.016961,0.497024,0.016839,0.60506,0.016987,0.10506,0.011419,0.216964,0.017535,0.716125,0.016388,560
affordance_graph_verifier,3,0.66994,0.0155,0.452976,0.017876,0.613393,0.015945,0.514286,0.016263,0.120833,0.01173,0.059821,0.008024,0.037202,0.00653,0.039286,0.00673,0.055655,0.008227,0.090179,0.009648,0.191667,0.012757,0.498214,0.016596,0.491369,0.016795,0.61131,0.017004,0.102976,0.011234,0.20744,0.016509,0.725156,0.015791,560
affordance_graph_verifier,4,0.672321,0.015117,0.447619,0.016989,0.585417,0.01767,0.508929,0.017106,0.104167,0.01137,0.055655,0.00835,0.04494,0.006766,0.03869,0.006652,0.064583,0.008067,0.091369,0.009782,0.17619,0.012552,0.483036,0.016813,0.466071,0.016501,0.605952,0.015986,0.102976,0.011173,0.214583,0.016124,0.727878,0.015004,560
affordance_graph_verifier,5,0.669643,0.01603,0.456845,0.016508,0.602976,0.01666,0.515774,0.0168,0.11994,0.011721,0.058631,0.00787,0.043155,0.006795,0.034821,0.006194,0.054167,0.008066,0.084226,0.009231,0.183036,0.013128,0.499405,0.016739,0.484821,0.017046,0.609226,0.017027,0.102976,0.010738,0.224405,0.016356,0.723506,0.015907,560
affordance_graph_verifier,6,0.658333,0.01625,0.45625,0.017422,0.597321,0.016514,0.510417,0.016398,0.113095,0.011324,0.061607,0.00863,0.044048,0.00693,0.034821,0.006194,0.058929,0.00862,0.09375,0.010177,0.186607,0.013068,0.497024,0.01692,0.501488,0.016148,0.626488,0.016519,0.107143,0.011802,0.236905,0.017147,0.713138,0.016156,560
affordance_graph_verifier,7,0.675298,0.016384,0.45,0.016998,0.599107,0.017152,0.502976,0.016304,0.110714,0.011335,0.061607,0.008142,0.040179,0.006969,0.036607,0.006553,0.060714,0.008732,0.091667,0.009745,0.194345,0.013909,0.503274,0.017484,0.489583,0.01689,0.613095,0.016802,0.108036,0.011407,0.221726,0.017081,0.727592,0.016513,560
affordance_graph_verifier,8,0.66369,0.016819,0.450595,0.01701,0.590179,0.016932,0.520536,0.017905,0.104464,0.011001,0.055357,0.007838,0.044048,0.00693,0.034226,0.006162,0.054762,0.008289,0.088095,0.009621,0.181548,0.013334,0.479762,0.017278,0.502083,0.017368,0.618155,0.017217,0.108036,0.011317,0.234524,0.017233,0.719131,0.016749,560
affordance_graph_verifier,9,0.670536,0.01589,0.451488,0.017078,0.603274,0.016576,0.509821,0.017526,0.108333,0.011252,0.06131,0.007925,0.041071,0.007103,0.039583,0.006744,0.058036,0.008197,0.086012,0.009767,0.189286,0.013513,0.50119,0.016881,0.484226,0.016201,0.604762,0.017639,0.098512,0.010787,0.21994,0.01622,0.725269,0.015879,560
aggressive_augmentation_policy,0,0.571131,0.016932,0.533333,0.016572,0.259524,0.015069,0.36875,0.016959,0.239881,0.016596,0.10119,0.010791,0.09256,0.010579,0.059821,0.008558,0.129762,0.012002,0.134524,0.011606,0.158036,0.012785,0.604464,0.016565,0.236607,0.014636,0.109524,0.011294,0.270833,0.017605,0.299405,0.019052,0.533976,0.017853,560
aggressive_augmentation_policy,1,0.577679,0.016466,0.53006,0.016666,0.258929,0.015252,0.383631,0.016011,0.237798,0.016462,0.107143,0.010994,0.091369,0.01039,0.062798,0.008571,0.124405,0.011994,0.133929,0.012582,0.158929,0.012174,0.610417,0.016024,0.227679,0.013865,0.104464,0.010558,0.267857,0.017492,0.3,0.018067,0.540875,0.017943,560
aggressive_augmentation_policy,2,0.575893,0.017852,0.522321,0.017151,0.257738,0.014963,0.379167,0.01605,0.247321,0.016981,0.109524,0.011142,0.093155,0.010214,0.068452,0.008768,0.134524,0.012429,0.13244,0.011697,0.157143,0.013213,0.625595,0.016719,0.222917,0.013558,0.107738,0.010985,0.26875,0.01683,0.289583,0.01935,0.536455,0.019306,560
aggressive_augmentation_policy,3,0.564286,0.016787,0.522619,0.017356,0.263095,0.015028,0.360714,0.016063,0.245238,0.015921,0.107143,0.010421,0.090774,0.009609,0.069345,0.008502,0.13125,0.012159,0.131548,0.012123,0.166667,0.013133,0.631548,0.016792,0.245238,0.014007,0.103869,0.010534,0.285417,0.017425,0.301786,0.018774,0.522634,0.018145,560
aggressive_augmentation_policy,4,0.563988,0.017344,0.528274,0.01691,0.248214,0.015291,0.371131,0.016863,0.226488,0.015654,0.108631,0.011308,0.088988,0.010068,0.063393,0.008581,0.124405,0.012413,0.135714,0.012367,0.162202,0.012144,0.61875,0.01648,0.232143,0.014673,0.106548,0.010941,0.269345,0.017905,0.31875,0.017831,0.526664,0.018277,560
aggressive_augmentation_policy,5,0.560417,0.017096,0.532143,0.01743,0.270833,0.014968,0.36756,0.01611,0.233333,0.016435,0.101786,0.011003,0.084821,0.009873,0.066964,0.009316,0.131548,0.01201,0.13869,0.01211,0.167262,0.012275,0.638393,0.016951,0.235714,0.014132,0.114286,0.01115,0.273512,0.01695,0.317262,0.018745,0.523152,0.018497,560
aggressive_augmentation_policy,6,0.554464,0.017193,0.536607,0.016327,0.259821,0.015404,0.360417,0.016329,0.23125,0.016931,0.110119,0.011523,0.086012,0.009974,0.06994,0.008785,0.131845,0.01183,0.130357,0.011727,0.157143,0.012388,0.602976,0.016413,0.234821,0.014554,0.107738,0.010766,0.270536,0.017685,0.326488,0.018739,0.514789,0.018707,560
aggressive_augmentation_policy,7,0.564286,0.018134,0.541667,0.01733,0.261905,0.01508,0.356548,0.016608,0.236607,0.015865,0.108929,0.010293,0.090179,0.009858,0.059821,0.008478,0.126488,0.012057,0.124702,0.012044,0.154464,0.012685,0.60506,0.016744,0.216667,0.014603,0.11875,0.011541,0.264286,0.01718,0.325595,0.019389,0.525978,0.01927,560
aggressive_augmentation_policy,8,0.583929,0.017102,0.546726,0.016871,0.246131,0.015177,0.375,0.017072,0.238988,0.016489,0.102679,0.010386,0.08869,0.009864,0.066964,0.009131,0.127381,0.012006,0.141071,0.011891,0.166071,0.012385,0.61756,0.016518,0.227381,0.014009,0.105655,0.010922,0.275298,0.017053,0.304464,0.018722,0.544423,0.018502,560
aggressive_augmentation_policy,9,0.565179,0.017215,0.527083,0.017263,0.254464,0.014927,0.379167,0.015814,0.230357,0.016204,0.10744,0.010546,0.089286,0.009722,0.070536,0.008906,0.125,0.011574,0.140179,0.012006,0.15744,0.012097,0.607143,0.016948,0.241964,0.015053,0.105655,0.01126,0.272619,0.01759,0.31756,0.018701,0.528387,0.018239,560
causal_representation_proxy,0,0.635119,0.016306,0.478274,0.017646,0.530655,0.016576,0.494048,0.01663,0.149702,0.012808,0.070833,0.008716,0.052083,0.007438,0.04375,0.006616,0.073512,0.008778,0.104762,0.010554,0.180952,0.013364,0.521429,0.016563,0.446429,0.016782,0.5125,0.017563,0.128571,0.012614,0.244643,0.017156,0.670835,0.016595,560
causal_representation_proxy,1,0.635119,0.01601,0.478869,0.016881,0.523214,0.017604,0.483036,0.016772,0.148214,0.0127,0.076488,0.009541,0.062202,0.008195,0.039583,0.006538,0.077976,0.009368,0.094643,0.010532,0.174405,0.012855,0.527679,0.016755,0.469643,0.017412,0.505952,0.017333,0.14375,0.012956,0.247024,0.017397,0.668232,0.016459,560
causal_representation_proxy,2,0.63244,0.016089,0.48244,0.01711,0.514286,0.016799,0.495238,0.016957,0.160714,0.013305,0.074107,0.00931,0.053274,0.007741,0.046726,0.007499,0.076786,0.009289,0.095833,0.010093,0.182143,0.013226,0.51994,0.016586,0.456548,0.016981,0.490476,0.017537,0.149405,0.013542,0.233929,0.01697,0.664754,0.016729,560
causal_representation_proxy,3,0.636905,0.01668,0.475298,0.016438,0.525,0.017314,0.495536,0.016948,0.13631,0.012623,0.069048,0.008579,0.054464,0.008157,0.044643,0.007288,0.080357,0.009519,0.094048,0.010208,0.184226,0.013375,0.539286,0.01691,0.447024,0.016216,0.50744,0.017378,0.143452,0.013607,0.233036,0.016843,0.673076,0.017037,560
causal_representation_proxy,4,0.629464,0.015873,0.480357,0.016288,0.534821,0.016745,0.485119,0.016836,0.146131,0.012718,0.079167,0.008848,0.059821,0.008357,0.033929,0.006146,0.074405,0.00909,0.104167,0.010626,0.176488,0.012645,0.529464,0.017472,0.463988,0.01691,0.49881,0.016555,0.147321,0.013536,0.25625,0.01665,0.664749,0.016601,560
causal_representation_proxy,5,0.64256,0.016194,0.467857,0.016649,0.527381,0.01721,0.482143,0.016447,0.154167,0.013427,0.061607,0.008058,0.05625,0.008199,0.041964,0.007043,0.070536,0.008634,0.100893,0.010243,0.184821,0.012527,0.516964,0.017391,0.455357,0.016471,0.507143,0.017388,0.138095,0.012598,0.244643,0.016855,0.676933,0.016554,560
causal_representation_proxy,6,0.643155,0.016554,0.477381,0.016736,0.513988,0.015786,0.478869,0.017022,0.140179,0.012909,0.063393,0.008501,0.055655,0.008186,0.037202,0.00653,0.075298,0.009606,0.094643,0.010137,0.170833,0.013412,0.512798,0.016919,0.45744,0.016622,0.500298,0.016912,0.146726,0.013454,0.247619,0.017938,0.678183,0.016977,560
causal_representation_proxy,7,0.629762,0.016165,0.462798,0.017662,0.55,0.016654,0.469643,0.016976,0.1375,0.012175,0.063988,0.00851,0.055655,0.007758,0.044048,0.007172,0.075,0.009569,0.094643,0.010883,0.177381,0.013361,0.53244,0.01708,0.432738,0.01691,0.495833,0.017178,0.141964,0.013168,0.260714,0.016736,0.665141,0.016484,560
causal_representation_proxy,8,0.63006,0.016901,0.479167,0.016671,0.542857,0.017052,0.471429,0.017217,0.140774,0.01257,0.063095,0.008293,0.050595,0.007576,0.038393,0.006841,0.070536,0.009281,0.097024,0.010448,0.177381,0.012572,0.528274,0.017071,0.441071,0.017862,0.503571,0.0171,0.143452,0.013226,0.26369,0.017283,0.666573,0.017393,560
causal_representation_proxy,9,0.631845,0.016395,0.470536,0.016836,0.519048,0.016521,0.478869,0.016032,0.139881,0.012971,0.062798,0.008288,0.057143,0.007749,0.039286,0.006312,0.074107,0.00905,0.091071,0.009956,0.183036,0.012998,0.523214,0.017153,0.4625,0.016654,0.501488,0.016871,0.138393,0.012589,0.255655,0.017529,0.666662,0.016993,560
conformal_shift_filter,0,0.652381,0.017041,0.452083,0.017288,0.56131,0.015272,0.502679,0.017328,0.126786,0.011821,0.052976,0.00812,0.053869,0.007624,0.031845,0.006411,0.052083,0.007969,0.086905,0.009482,0.218452,0.014561,0.455357,0.017669,0.469643,0.016404,0.578571,0.018086,0.127381,0.012909,0.232143,0.017878,0.699487,0.017392,560
conformal_shift_filter,1,0.649405,0.016699,0.429167,0.01721,0.56131,0.017263,0.491667,0.017008,0.117857,0.01123,0.049702,0.007684,0.049405,0.007495,0.033929,0.006364,0.046131,0.007295,0.083333,0.009451,0.219643,0.013409,0.463095,0.017008,0.476488,0.016656,0.574405,0.016986,0.114583,0.011623,0.239583,0.017397,0.697647,0.016879,560
conformal_shift_filter,2,0.642857,0.015889,0.44256,0.016906,0.556845,0.016697,0.497024,0.016635,0.140179,0.012534,0.052083,0.007392,0.052083,0.007883,0.032738,0.00619,0.048214,0.007682,0.084226,0.00945,0.20744,0.013884,0.463393,0.017632,0.4625,0.016572,0.579762,0.017119,0.117857,0.011764,0.23006,0.016493,0.690467,0.016311,560
conformal_shift_filter,3,0.638393,0.016789,0.434226,0.017278,0.545238,0.016929,0.503571,0.017571,0.125595,0.011937,0.055655,0.007975,0.05,0.007737,0.030655,0.00584,0.047024,0.007418,0.072024,0.008727,0.204167,0.013538,0.455655,0.016996,0.485119,0.017256,0.570238,0.016643,0.115179,0.011816,0.233036,0.01775,0.686138,0.017165,560
conformal_shift_filter,4,0.644345,0.016148,0.449702,0.016982,0.549702,0.016772,0.489881,0.016961,0.125595,0.012604,0.054167,0.007852,0.053571,0.007571,0.041369,0.006618,0.047024,0.007279,0.083036,0.009486,0.208631,0.013761,0.469345,0.017103,0.46756,0.017956,0.579464,0.016449,0.116071,0.011857,0.241964,0.017089,0.69061,0.016398,560
conformal_shift_filter,5,0.649702,0.01568,0.43631,0.016413,0.547619,0.016014,0.508333,0.016746,0.135119,0.012764,0.051786,0.00743,0.044345,0.007183,0.03244,0.006118,0.047024,0.007325,0.079167,0.009587,0.203571,0.013423,0.475298,0.017522,0.463393,0.017339,0.567262,0.017523,0.120238,0.011801,0.235714,0.016799,0.696839,0.015842,560
conformal_shift_filter,6,0.646429,0.015664,0.443452,0.016877,0.566964,0.016867,0.487202,0.016838,0.120833,0.011989,0.054762,0.007823,0.044345,0.007416,0.039286,0.006831,0.046429,0.007625,0.080357,0.009302,0.205655,0.013821,0.460714,0.01683,0.476488,0.017121,0.575,0.017599,0.111607,0.011763,0.243155,0.017212,0.696388,0.016047,560
conformal_shift_filter,7,0.63631,0.016258,0.427381,0.017099,0.562798,0.017037,0.487202,0.016696,0.125298,0.012798,0.053869,0.007887,0.046429,0.007305,0.038393,0.007037,0.052976,0.007464,0.083333,0.009487,0.216667,0.014177,0.462202,0.016034,0.453869,0.017143,0.572619,0.017435,0.116071,0.012446,0.258333,0.016561,0.682574,0.016368,560
conformal_shift_filter,8,0.64375,0.015973,0.446429,0.016842,0.56875,0.017059,0.50506,0.017067,0.124107,0.011626,0.047321,0.007242,0.052976,0.007733,0.035714,0.006296,0.043155,0.006993,0.083631,0.009342,0.211905,0.014405,0.477976,0.017498,0.474107,0.016937,0.573512,0.016942,0.109821,0.011289,0.24881,0.0168,0.693432,0.016125,560
conformal_shift_filter,9,0.64494,0.016795,0.434226,0.01704,0.56131,0.016516,0.481548,0.017272,0.132738,0.012641,0.054762,0.008248,0.049702,0.00732,0.037798,0.006507,0.045536,0.007084,0.07619,0.009249,0.214881,0.013904,0.461607,0.016712,0.449107,0.017249,0.578274,0.017588,0.10744,0.011652,0.246429,0.017278,0.69017,0.017152,560
contact_frame_verifier,0,0.654167,0.01602,0.470833,0.016748,0.598512,0.01659,0.516071,0.017582,0.119048,0.011623,0.05119,0.007366,0.048214,0.007411,0.035119,0.006155,0.059226,0.008011,0.09375,0.009661,0.180952,0.013261,0.497917,0.017309,0.487798,0.016841,0.600595,0.016534,0.1125,0.012063,0.227976,0.017381,0.708784,0.015962,560
