method,split,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_task_equivalence_f1,ci95_task_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_violation,ci95_contact_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups,regret_to_oracle
aggressive_augmentation_policy,combined_invariance_stress,0,0.548,0.0242,0.5503,0.0202,0.2425,0.0166,0.3286,0.0129,0.2088,0.0326,0.1177,0.0202,0.1218,0.0224,0.1514,0.0186,0.1724,0.014,0.484,0.0196,35,0.2456
aggressive_augmentation_policy,combined_invariance_stress,1,0.5531,0.0251,0.5401,0.0185,0.2422,0.0141,0.3221,0.0173,0.2184,0.0364,0.1116,0.018,0.1197,0.0231,0.1473,0.0181,0.1816,0.0127,0.4833,0.0169,35,0.2412
aggressive_augmentation_policy,combined_invariance_stress,2,0.5578,0.0215,0.5561,0.019,0.2408,0.0189,0.3197,0.0169,0.198,0.0341,0.1007,0.0164,0.132,0.0237,0.1568,0.0185,0.1707,0.0127,0.5,0.0189,35,0.2316
aggressive_augmentation_policy,combined_invariance_stress,3,0.5405,0.0209,0.5218,0.018,0.2293,0.0128,0.3017,0.0176,0.218,0.034,0.115,0.0226,0.131,0.0234,0.1622,0.0207,0.167,0.0127,0.4878,0.0148,35,0.2602
aggressive_augmentation_policy,combined_invariance_stress,4,0.5527,0.0236,0.5456,0.0168,0.2299,0.0176,0.3071,0.0187,0.2133,0.0336,0.1088,0.0167,0.1163,0.02,0.1425,0.0164,0.1935,0.012,0.4952,0.0171,35,0.2221
aggressive_augmentation_policy,combined_invariance_stress,5,0.5541,0.027,0.5446,0.0169,0.2194,0.0184,0.3272,0.0178,0.1997,0.0354,0.1167,0.0164,0.1255,0.021,0.1612,0.0177,0.1728,0.0137,0.4908,0.0154,35,0.2327
aggressive_augmentation_policy,combined_invariance_stress,6,0.5741,0.0221,0.5303,0.019,0.2269,0.0176,0.3177,0.0136,0.2238,0.0349,0.1085,0.0187,0.1276,0.0224,0.1541,0.0153,0.1765,0.0128,0.4993,0.0191,35,0.2092
aggressive_augmentation_policy,invalid_physical_shift,0,0.5636,0.0277,0.5463,0.0203,0.2381,0.0168,0.3259,0.0137,0.2136,0.0375,0.1092,0.0166,0.1173,0.0198,0.1391,0.0188,0.1537,0.0134,0.5078,0.0207,35,0.2422
aggressive_augmentation_policy,invalid_physical_shift,1,0.6024,0.0227,0.5565,0.0222,0.2384,0.0165,0.3269,0.0183,0.219,0.0339,0.1082,0.0158,0.1105,0.0183,0.1439,0.0207,0.1616,0.0138,0.498,0.0142,35,0.2143
aggressive_augmentation_policy,invalid_physical_shift,2,0.5731,0.0278,0.5446,0.0188,0.2316,0.0152,0.3316,0.0174,0.218,0.0368,0.1041,0.02,0.1228,0.0234,0.1435,0.0176,0.1633,0.0155,0.4983,0.018,35,0.2299
aggressive_augmentation_policy,invalid_physical_shift,3,0.5612,0.0207,0.5446,0.0191,0.2333,0.0166,0.3238,0.0144,0.216,0.0358,0.1122,0.02,0.1299,0.0221,0.1401,0.0197,0.1622,0.0142,0.4898,0.017,35,0.2469
aggressive_augmentation_policy,invalid_physical_shift,4,0.5721,0.0267,0.5507,0.0178,0.2364,0.0189,0.3293,0.0198,0.2075,0.0317,0.1044,0.0183,0.1221,0.0204,0.151,0.0191,0.1599,0.0124,0.5109,0.0195,35,0.2527
aggressive_augmentation_policy,invalid_physical_shift,5,0.5844,0.0241,0.5405,0.0208,0.2435,0.016,0.3333,0.0201,0.2095,0.0359,0.1146,0.0192,0.1218,0.0203,0.1446,0.0205,0.1673,0.0137,0.5048,0.0166,35,0.2143
aggressive_augmentation_policy,invalid_physical_shift,6,0.5701,0.0221,0.5524,0.0159,0.2378,0.017,0.3483,0.0193,0.2088,0.0337,0.1112,0.0201,0.1156,0.0226,0.1401,0.0171,0.1571,0.0131,0.4861,0.019,35,0.2357
aggressive_augmentation_policy,nominal,0,0.6381,0.0203,0.5517,0.0168,0.234,0.0149,0.3704,0.0162,0.1415,0.0227,0.0915,0.0117,0.0782,0.014,0.0874,0.0121,0.1391,0.0146,0.5041,0.0165,35,0.198
aggressive_augmentation_policy,nominal,1,0.6503,0.0163,0.5803,0.017,0.2405,0.0143,0.3759,0.0174,0.1418,0.0239,0.0714,0.0125,0.0833,0.0147,0.0966,0.014,0.1354,0.0115,0.5197,0.0155,35,0.2
aggressive_augmentation_policy,nominal,2,0.6255,0.0188,0.5755,0.0206,0.2241,0.0152,0.3789,0.0183,0.1395,0.02,0.0786,0.0142,0.0888,0.0168,0.1058,0.0123,0.1299,0.0118,0.5194,0.0219,35,0.232
aggressive_augmentation_policy,nominal,3,0.6378,0.0161,0.5786,0.0223,0.2384,0.0191,0.3463,0.0148,0.1412,0.0189,0.0793,0.0125,0.0793,0.0122,0.0857,0.0138,0.1221,0.0113,0.5299,0.0199,35,0.2044
aggressive_augmentation_policy,nominal,4,0.6316,0.0186,0.5704,0.0128,0.2459,0.0148,0.3599,0.0158,0.1503,0.0214,0.0844,0.0154,0.0707,0.0114,0.0898,0.0128,0.135,0.0127,0.518,0.0175,35,0.2095
aggressive_augmentation_policy,nominal,5,0.6184,0.0222,0.5735,0.0194,0.2381,0.0159,0.3718,0.0146,0.1374,0.0234,0.0741,0.0123,0.0731,0.0141,0.0966,0.0139,0.1367,0.012,0.502,0.0194,35,0.2231
aggressive_augmentation_policy,nominal,6,0.6238,0.0208,0.5588,0.0159,0.2435,0.0214,0.3684,0.0142,0.1391,0.0209,0.0813,0.0131,0.0755,0.0107,0.0888,0.0124,0.1241,0.0091,0.5214,0.0154,35,0.217
aggressive_augmentation_policy,valid_geometric_shift,0,0.5912,0.0231,0.55,0.0172,0.2177,0.0152,0.3357,0.0147,0.1707,0.0259,0.0963,0.0157,0.1065,0.0207,0.1058,0.0139,0.1605,0.0113,0.518,0.0191,35,0.2398
aggressive_augmentation_policy,valid_geometric_shift,1,0.6146,0.0161,0.5588,0.019,0.232,0.0201,0.3262,0.0164,0.1639,0.0282,0.101,0.018,0.0959,0.0173,0.1116,0.0158,0.1514,0.0135,0.5031,0.0163,35,0.1993
aggressive_augmentation_policy,valid_geometric_shift,2,0.6065,0.0227,0.5503,0.0181,0.2235,0.0139,0.3446,0.0152,0.1544,0.0262,0.0963,0.0157,0.0922,0.0161,0.1126,0.0136,0.1565,0.0131,0.4997,0.0154,35,0.2031
aggressive_augmentation_policy,valid_geometric_shift,3,0.5963,0.0224,0.5714,0.0171,0.2231,0.0143,0.3463,0.0141,0.1697,0.0239,0.083,0.0157,0.0932,0.0184,0.1197,0.0175,0.1531,0.0137,0.5102,0.0134,35,0.2197
aggressive_augmentation_policy,valid_geometric_shift,4,0.5946,0.0187,0.5667,0.0205,0.2306,0.0165,0.3418,0.0193,0.1622,0.0295,0.0827,0.0143,0.0912,0.015,0.1116,0.0125,0.1595,0.01,0.4898,0.0185,35,0.216
aggressive_augmentation_policy,valid_geometric_shift,5,0.6129,0.0228,0.5568,0.0174,0.2269,0.0148,0.3381,0.0202,0.1554,0.0277,0.0878,0.0167,0.099,0.0167,0.1136,0.0146,0.1476,0.0128,0.5071,0.0194,35,0.202
aggressive_augmentation_policy,valid_geometric_shift,6,0.598,0.0204,0.5537,0.017,0.2384,0.0141,0.3493,0.017,0.1667,0.0257,0.085,0.016,0.1041,0.0189,0.1201,0.0163,0.1537,0.0138,0.5119,0.0205,35,0.2102
aggressive_augmentation_policy,valid_perceptual_shift,0,0.6082,0.0204,0.5616,0.017,0.217,0.0173,0.3595,0.0204,0.1463,0.0228,0.0772,0.0113,0.0925,0.0141,0.1085,0.0145,0.1456,0.0116,0.5,0.0221,35,0.2136
aggressive_augmentation_policy,valid_perceptual_shift,1,0.5915,0.0172,0.5667,0.0193,0.2224,0.0159,0.3507,0.0141,0.1456,0.0251,0.084,0.0108,0.0973,0.0189,0.1044,0.0124,0.1418,0.0135,0.4976,0.0168,35,0.2259
aggressive_augmentation_policy,valid_perceptual_shift,2,0.6048,0.0215,0.5748,0.0206,0.2391,0.0186,0.3306,0.0182,0.1497,0.0233,0.0884,0.0156,0.0881,0.0186,0.116,0.0142,0.1384,0.0142,0.502,0.0195,35,0.2143
aggressive_augmentation_policy,valid_perceptual_shift,3,0.617,0.023,0.569,0.0201,0.2177,0.0167,0.367,0.0196,0.1418,0.021,0.0697,0.0128,0.0837,0.0179,0.0912,0.012,0.1633,0.0136,0.5078,0.0163,35,0.2116
aggressive_augmentation_policy,valid_perceptual_shift,4,0.6105,0.0219,0.5609,0.0184,0.2228,0.0171,0.348,0.0176,0.1432,0.0219,0.081,0.0128,0.0878,0.0145,0.0997,0.011,0.1619,0.0131,0.5065,0.0184,35,0.2095
aggressive_augmentation_policy,valid_perceptual_shift,5,0.6133,0.0207,0.5619,0.0188,0.2238,0.0148,0.3439,0.0201,0.1439,0.0195,0.0799,0.0162,0.0905,0.0182,0.1119,0.0161,0.1561,0.0118,0.4878,0.0183,35,0.2044
aggressive_augmentation_policy,valid_perceptual_shift,6,0.6146,0.0182,0.5565,0.0174,0.2262,0.0212,0.3381,0.0173,0.15,0.0255,0.0762,0.0127,0.0929,0.0143,0.1126,0.0132,0.1531,0.0123,0.5228,0.0176,35,0.2027
conformal_shift_filter,combined_invariance_stress,0,0.6224,0.0201,0.4497,0.0224,0.4677,0.0164,0.401,0.0169,0.1167,0.0199,0.0619,0.0111,0.051,0.0126,0.1082,0.015,0.2435,0.015,0.4075,0.0142,35,0.1711
conformal_shift_filter,combined_invariance_stress,1,0.6156,0.0217,0.4497,0.0199,0.4741,0.0238,0.3827,0.0187,0.1269,0.0252,0.0609,0.0121,0.052,0.0134,0.1075,0.0109,0.2469,0.0165,0.4054,0.0184,35,0.1786
conformal_shift_filter,combined_invariance_stress,2,0.6082,0.0229,0.4476,0.0216,0.4789,0.0198,0.4031,0.0141,0.1211,0.0212,0.0568,0.0122,0.0643,0.0116,0.0895,0.0133,0.2408,0.015,0.401,0.0224,35,0.1813
conformal_shift_filter,combined_invariance_stress,3,0.6129,0.0237,0.466,0.0195,0.4816,0.0203,0.3939,0.0183,0.1194,0.0196,0.0697,0.0128,0.0568,0.0107,0.0986,0.0161,0.2327,0.0157,0.3929,0.018,35,0.1878
conformal_shift_filter,combined_invariance_stress,4,0.615,0.0175,0.4541,0.0186,0.4724,0.0177,0.3946,0.0156,0.1279,0.0195,0.0588,0.0131,0.0544,0.012,0.0986,0.016,0.2337,0.017,0.4,0.0177,35,0.1599
conformal_shift_filter,combined_invariance_stress,5,0.6119,0.0219,0.4578,0.0207,0.481,0.0178,0.3867,0.0166,0.1272,0.0216,0.0571,0.0113,0.0585,0.0116,0.1014,0.0123,0.2422,0.0167,0.3997,0.0157,35,0.1748
conformal_shift_filter,combined_invariance_stress,6,0.598,0.0226,0.4534,0.0193,0.4738,0.024,0.401,0.0165,0.1218,0.0195,0.0541,0.0114,0.0514,0.0115,0.0952,0.012,0.2279,0.0183,0.3966,0.0166,35,0.1854
conformal_shift_filter,invalid_physical_shift,0,0.6129,0.0189,0.4592,0.0226,0.4806,0.02,0.4272,0.0191,0.1187,0.0177,0.0558,0.0099,0.0524,0.0128,0.0884,0.0147,0.2347,0.0148,0.4109,0.0166,35,0.1929
conformal_shift_filter,invalid_physical_shift,1,0.6241,0.016,0.4534,0.0171,0.5,0.0182,0.4061,0.0152,0.1235,0.0225,0.0646,0.0104,0.0439,0.0096,0.0854,0.012,0.232,0.0164,0.4201,0.0173,35,0.1925
conformal_shift_filter,invalid_physical_shift,2,0.6276,0.0204,0.4595,0.0201,0.4915,0.0182,0.4105,0.0135,0.1173,0.0192,0.0551,0.0103,0.0493,0.0117,0.099,0.0122,0.2248,0.0128,0.4102,0.0172,35,0.1755
conformal_shift_filter,invalid_physical_shift,3,0.6201,0.0211,0.4507,0.0219,0.485,0.018,0.4231,0.0165,0.1116,0.0192,0.0656,0.0122,0.0503,0.0131,0.0952,0.0131,0.2105,0.016,0.4105,0.0196,35,0.1881
conformal_shift_filter,invalid_physical_shift,4,0.6269,0.0215,0.4476,0.0184,0.4833,0.0199,0.4143,0.0168,0.1173,0.018,0.0575,0.0127,0.0469,0.0105,0.0888,0.0127,0.232,0.0155,0.4085,0.0173,35,0.198
conformal_shift_filter,invalid_physical_shift,5,0.6391,0.0214,0.4653,0.0204,0.4871,0.0187,0.4214,0.0195,0.1296,0.0188,0.0531,0.0098,0.0503,0.0111,0.0871,0.0111,0.2224,0.0169,0.4136,0.0155,35,0.1595
conformal_shift_filter,invalid_physical_shift,6,0.6139,0.0216,0.4602,0.0211,0.482,0.0215,0.4034,0.0166,0.1201,0.0209,0.0575,0.0093,0.0432,0.0111,0.0895,0.0126,0.2214,0.0163,0.4153,0.0193,35,0.1918
conformal_shift_filter,nominal,0,0.6796,0.0207,0.4687,0.0165,0.4922,0.0197,0.4398,0.016,0.0803,0.0138,0.0398,0.0111,0.0357,0.0083,0.052,0.0083,0.1973,0.0142,0.4395,0.0158,35,0.1565
conformal_shift_filter,nominal,1,0.6619,0.0177,0.4731,0.019,0.4806,0.0218,0.4497,0.0214,0.0888,0.0164,0.0398,0.0082,0.0333,0.008,0.0486,0.0092,0.1929,0.0148,0.4109,0.0183,35,0.1884
conformal_shift_filter,nominal,2,0.6786,0.0173,0.4799,0.0204,0.4861,0.0198,0.4415,0.0194,0.0837,0.0128,0.051,0.0092,0.0248,0.0073,0.0449,0.0068,0.1983,0.0146,0.4374,0.0152,35,0.1789
conformal_shift_filter,nominal,3,0.668,0.0201,0.466,0.015,0.4888,0.0175,0.4323,0.0172,0.0867,0.0114,0.0384,0.0092,0.0378,0.0081,0.0531,0.0099,0.199,0.0139,0.4289,0.0149,35,0.1741
conformal_shift_filter,nominal,4,0.6673,0.019,0.466,0.0139,0.4874,0.0203,0.4327,0.0153,0.0881,0.0143,0.0442,0.0082,0.0293,0.0085,0.05,0.0094,0.185,0.014,0.4248,0.0158,35,0.1738
conformal_shift_filter,nominal,5,0.6752,0.0172,0.4888,0.0181,0.4762,0.0188,0.4469,0.0211,0.082,0.0132,0.0405,0.01,0.0313,0.0095,0.0483,0.0079,0.2,0.0144,0.4252,0.0149,35,0.1663
conformal_shift_filter,nominal,6,0.6673,0.0241,0.4857,0.0213,0.4827,0.018,0.4378,0.0168,0.0827,0.0148,0.0429,0.0075,0.034,0.009,0.0531,0.0096,0.198,0.0148,0.418,0.0167,35,0.1735
conformal_shift_filter,valid_geometric_shift,0,0.6429,0.0189,0.4585,0.0207,0.4874,0.0223,0.4201,0.018,0.0922,0.0125,0.0497,0.0094,0.0473,0.0088,0.0646,0.01,0.2265,0.0144,0.4221,0.0142,35,0.1881
conformal_shift_filter,valid_geometric_shift,1,0.6429,0.0185,0.4609,0.0178,0.4707,0.0196,0.4218,0.0193,0.0891,0.0173,0.0486,0.01,0.0412,0.0107,0.0677,0.0105,0.2146,0.0149,0.4044,0.0174,35,0.1711
conformal_shift_filter,valid_geometric_shift,2,0.6456,0.0174,0.4714,0.0148,0.4912,0.0153,0.415,0.0164,0.1014,0.016,0.0456,0.0089,0.0384,0.0082,0.0718,0.0108,0.2211,0.0174,0.3963,0.0174,35,0.1639
conformal_shift_filter,valid_geometric_shift,3,0.6276,0.0174,0.4639,0.0205,0.4714,0.0222,0.4221,0.0173,0.1037,0.0167,0.0486,0.0096,0.035,0.0093,0.0779,0.0097,0.2303,0.0157,0.4173,0.0171,35,0.1884
conformal_shift_filter,valid_geometric_shift,4,0.6605,0.0181,0.468,0.0169,0.4844,0.0211,0.4418,0.0151,0.1014,0.0157,0.0534,0.0116,0.0429,0.01,0.0779,0.0142,0.2367,0.014,0.4112,0.0162,35,0.15
conformal_shift_filter,valid_geometric_shift,5,0.6432,0.0154,0.468,0.0203,0.4799,0.0204,0.415,0.0151,0.0895,0.0143,0.0469,0.0092,0.0398,0.0094,0.0718,0.0113,0.2156,0.0121,0.4197,0.016,35,0.1718
conformal_shift_filter,valid_geometric_shift,6,0.6408,0.0196,0.452,0.0156,0.4793,0.018,0.4211,0.0193,0.0966,0.0167,0.0435,0.0082,0.0391,0.0089,0.0711,0.0105,0.2112,0.0149,0.4126,0.0192,35,0.1673
conformal_shift_filter,valid_perceptual_shift,0,0.6473,0.0168,0.4677,0.0228,0.4721,0.0176,0.4211,0.0142,0.0878,0.0139,0.0466,0.0089,0.0367,0.0095,0.0646,0.0092,0.2248,0.0114,0.4276,0.0192,35,0.1745
conformal_shift_filter,valid_perceptual_shift,1,0.6384,0.0152,0.4741,0.0154,0.4558,0.0194,0.4272,0.016,0.0861,0.0141,0.049,0.0099,0.034,0.0088,0.0673,0.0096,0.2112,0.0156,0.4197,0.0208,35,0.1789
conformal_shift_filter,valid_perceptual_shift,2,0.6391,0.0176,0.4772,0.0211,0.4837,0.0186,0.4194,0.0174,0.0884,0.0112,0.0401,0.0091,0.0384,0.0085,0.069,0.0124,0.2105,0.0152,0.4099,0.016,35,0.1799
conformal_shift_filter,valid_perceptual_shift,3,0.6466,0.014,0.4796,0.0189,0.483,0.0197,0.4204,0.0174,0.082,0.0129,0.048,0.0086,0.0374,0.0111,0.0667,0.0109,0.2129,0.0135,0.4235,0.0208,35,0.182
conformal_shift_filter,valid_perceptual_shift,4,0.648,0.0185,0.4697,0.0213,0.4776,0.0211,0.431,0.0205,0.0973,0.0175,0.048,0.0084,0.0401,0.0081,0.0677,0.0122,0.1993,0.013,0.4187,0.0203,35,0.1721
conformal_shift_filter,valid_perceptual_shift,5,0.6439,0.0151,0.4531,0.0171,0.484,0.0174,0.4296,0.0188,0.0803,0.013,0.0432,0.0094,0.0337,0.0084,0.0605,0.0079,0.2357,0.0165,0.4092,0.0184,35,0.1738
conformal_shift_filter,valid_perceptual_shift,6,0.6364,0.016,0.4684,0.0231,0.4605,0.0179,0.4129,0.0164,0.0844,0.014,0.048,0.0077,0.0391,0.0093,0.067,0.01,0.2282,0.0126,0.4017,0.0176,35,0.181
contrastive_invariance_learner,combined_invariance_stress,0,0.5871,0.0265,0.5418,0.0191,0.3395,0.018,0.3599,0.0186,0.166,0.0249,0.0888,0.0168,0.0946,0.019,0.1245,0.0144,0.1881,0.014,0.5129,0.0193,35,0.2065
contrastive_invariance_learner,combined_invariance_stress,1,0.5816,0.0234,0.5616,0.0167,0.3412,0.0163,0.3531,0.0147,0.1738,0.0298,0.0867,0.0154,0.0905,0.0156,0.1371,0.0197,0.1884,0.0148,0.468,0.0194,35,0.2126
contrastive_invariance_learner,combined_invariance_stress,2,0.5827,0.0213,0.5439,0.0219,0.3456,0.0161,0.3507,0.0117,0.1633,0.0294,0.0844,0.0153,0.098,0.0193,0.1238,0.0167,0.1952,0.0144,0.4735,0.0212,35,0.2068
contrastive_invariance_learner,combined_invariance_stress,3,0.5799,0.0218,0.5367,0.0194,0.3316,0.0183,0.369,0.0174,0.1796,0.0316,0.0912,0.0127,0.1037,0.0195,0.1306,0.018,0.185,0.0145,0.4844,0.016,35,0.2207
contrastive_invariance_learner,combined_invariance_stress,4,0.6078,0.0234,0.5517,0.021,0.3241,0.0214,0.3677,0.0193,0.1769,0.0308,0.0935,0.0142,0.1027,0.0192,0.132,0.0168,0.1901,0.0152,0.4915,0.0191,35,0.167
contrastive_invariance_learner,combined_invariance_stress,5,0.5966,0.0201,0.5381,0.0192,0.3364,0.0225,0.3486,0.0181,0.1718,0.028,0.0871,0.015,0.0997,0.0178,0.1286,0.0158,0.1932,0.0156,0.4973,0.0194,35,0.1901
contrastive_invariance_learner,combined_invariance_stress,6,0.5735,0.0239,0.5422,0.0202,0.3571,0.0163,0.3772,0.0174,0.1735,0.03,0.0864,0.0168,0.0966,0.0205,0.1293,0.0174,0.181,0.0118,0.4857,0.0135,35,0.2099
