method,split,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_task_equivalence_f1,ci95_task_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_violation,ci95_contact_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups,regret_to_oracle
equivariant_policy,nominal,4,0.6575,0.0203,0.5259,0.0167,0.3218,0.018,0.3966,0.0169,0.1224,0.0222,0.068,0.0107,0.0731,0.0127,0.0891,0.0127,0.1384,0.0123,0.5037,0.0184,35,0.1837
equivariant_policy,nominal,5,0.6238,0.0184,0.5463,0.0193,0.3126,0.0178,0.398,0.016,0.1316,0.0204,0.0721,0.0134,0.0677,0.013,0.0779,0.0122,0.1364,0.0132,0.502,0.0211,35,0.2177
equivariant_policy,nominal,6,0.65,0.019,0.5361,0.0202,0.3289,0.0183,0.3952,0.0175,0.1235,0.022,0.0704,0.0118,0.0656,0.013,0.0816,0.0141,0.1378,0.0113,0.4939,0.0201,35,0.1908
equivariant_policy,valid_geometric_shift,0,0.6037,0.0258,0.5235,0.0202,0.3048,0.0187,0.3697,0.0143,0.1483,0.022,0.0796,0.0129,0.0799,0.0156,0.1058,0.014,0.1561,0.0115,0.4983,0.014,35,0.2272
equivariant_policy,valid_geometric_shift,1,0.5932,0.0189,0.5276,0.0169,0.3197,0.0181,0.365,0.0159,0.1463,0.0266,0.0946,0.0164,0.085,0.0127,0.1082,0.0117,0.1711,0.0129,0.4935,0.0168,35,0.2207
equivariant_policy,valid_geometric_shift,2,0.6,0.0177,0.5156,0.0205,0.3044,0.0204,0.3575,0.0142,0.1347,0.0224,0.0731,0.012,0.0861,0.0127,0.1082,0.0146,0.1667,0.0139,0.4837,0.0126,35,0.2095
equivariant_policy,valid_geometric_shift,3,0.6085,0.0222,0.5398,0.016,0.3065,0.0208,0.3616,0.0175,0.1391,0.0219,0.0772,0.0122,0.0837,0.0136,0.1099,0.0134,0.1687,0.0112,0.4816,0.0168,35,0.2075
equivariant_policy,valid_geometric_shift,4,0.6214,0.0208,0.5286,0.0201,0.3,0.0158,0.3231,0.0152,0.134,0.0217,0.0748,0.0129,0.0918,0.0156,0.0935,0.0135,0.1619,0.0158,0.4782,0.0195,35,0.1891
equivariant_policy,valid_geometric_shift,5,0.6068,0.0243,0.5136,0.0212,0.3071,0.0162,0.35,0.0188,0.1401,0.0213,0.0796,0.0156,0.0823,0.015,0.1102,0.0163,0.1616,0.0148,0.4857,0.0207,35,0.2082
equivariant_policy,valid_geometric_shift,6,0.6054,0.0181,0.5129,0.0231,0.3187,0.0185,0.3599,0.0155,0.1371,0.0213,0.0895,0.013,0.083,0.0145,0.0983,0.01,0.1541,0.0124,0.4857,0.019,35,0.2027
equivariant_policy,valid_perceptual_shift,0,0.6116,0.0209,0.5252,0.0189,0.3,0.0192,0.3646,0.0181,0.1347,0.0228,0.0636,0.009,0.0755,0.0152,0.0898,0.0117,0.1561,0.0089,0.4898,0.0238,35,0.2102
equivariant_policy,valid_perceptual_shift,1,0.6136,0.021,0.5357,0.0201,0.3031,0.0168,0.3541,0.0164,0.1327,0.0176,0.0803,0.0132,0.0759,0.015,0.0946,0.0121,0.1473,0.0129,0.4844,0.0199,35,0.2037
equivariant_policy,valid_perceptual_shift,2,0.6248,0.0185,0.5378,0.0198,0.2949,0.0171,0.3316,0.0168,0.1272,0.0172,0.0772,0.0147,0.0765,0.0164,0.1031,0.0122,0.1602,0.015,0.4847,0.019,35,0.1942
equivariant_policy,valid_perceptual_shift,3,0.6231,0.0157,0.5218,0.019,0.2935,0.0168,0.3585,0.0186,0.1255,0.022,0.0741,0.0119,0.0724,0.0148,0.0993,0.0159,0.1653,0.0123,0.4507,0.0177,35,0.2054
equivariant_policy,valid_perceptual_shift,4,0.619,0.0176,0.5177,0.0174,0.3136,0.0206,0.3636,0.0141,0.1252,0.0203,0.0735,0.0128,0.084,0.0135,0.0976,0.0141,0.1449,0.0112,0.4895,0.0182,35,0.201
equivariant_policy,valid_perceptual_shift,5,0.6129,0.0193,0.5439,0.0211,0.3048,0.0186,0.3595,0.0181,0.1378,0.0239,0.0711,0.0117,0.0806,0.0144,0.1048,0.0122,0.1575,0.0135,0.4932,0.0174,35,0.2048
equivariant_policy,valid_perceptual_shift,6,0.6231,0.0203,0.5306,0.0242,0.3007,0.0181,0.3514,0.0154,0.1265,0.0197,0.0731,0.0123,0.0806,0.0151,0.0997,0.0111,0.1684,0.0122,0.4908,0.0209,35,0.1942
invariant_risk_minimization_proxy,combined_invariance_stress,0,0.5799,0.0191,0.4827,0.0233,0.3959,0.0192,0.3728,0.0157,0.1524,0.028,0.0769,0.0141,0.0871,0.0164,0.117,0.0144,0.1898,0.0113,0.4344,0.0173,35,0.2136
invariant_risk_minimization_proxy,combined_invariance_stress,1,0.5867,0.0228,0.4857,0.0179,0.3935,0.014,0.3745,0.018,0.1619,0.0236,0.0782,0.0135,0.0949,0.0174,0.1041,0.0151,0.1901,0.0127,0.4286,0.0151,35,0.2075
invariant_risk_minimization_proxy,combined_invariance_stress,2,0.5871,0.0203,0.4935,0.0184,0.3765,0.0211,0.3718,0.0178,0.1571,0.0247,0.0752,0.0154,0.0949,0.0214,0.1241,0.0174,0.1878,0.0133,0.4466,0.0182,35,0.2024
invariant_risk_minimization_proxy,combined_invariance_stress,3,0.569,0.0222,0.4796,0.0235,0.3755,0.019,0.3704,0.0211,0.1636,0.0246,0.0881,0.0164,0.0827,0.0149,0.1218,0.0129,0.1895,0.0146,0.4469,0.018,35,0.2316
invariant_risk_minimization_proxy,combined_invariance_stress,4,0.5793,0.0215,0.4667,0.0169,0.3772,0.0187,0.3633,0.0164,0.1568,0.0234,0.0844,0.0133,0.0854,0.0202,0.1204,0.0152,0.1993,0.0151,0.4116,0.0159,35,0.1956
invariant_risk_minimization_proxy,combined_invariance_stress,5,0.5731,0.0205,0.469,0.0204,0.3854,0.0198,0.3531,0.0145,0.167,0.0277,0.081,0.0142,0.0867,0.0185,0.1293,0.0168,0.1918,0.0164,0.4405,0.0168,35,0.2136
invariant_risk_minimization_proxy,combined_invariance_stress,6,0.6065,0.0247,0.4874,0.0154,0.3949,0.0172,0.368,0.0145,0.1514,0.0261,0.0796,0.0145,0.0912,0.0156,0.1173,0.016,0.1837,0.015,0.4364,0.0174,35,0.1769
invariant_risk_minimization_proxy,invalid_physical_shift,0,0.5973,0.0166,0.4874,0.0193,0.3922,0.0221,0.3752,0.0198,0.1677,0.028,0.0769,0.0158,0.0878,0.0186,0.1105,0.014,0.1772,0.0137,0.4378,0.0186,35,0.2085
invariant_risk_minimization_proxy,invalid_physical_shift,1,0.5786,0.0227,0.4796,0.0196,0.3816,0.0198,0.3755,0.0155,0.1636,0.0272,0.0759,0.0116,0.0867,0.0157,0.117,0.0176,0.1799,0.0135,0.4405,0.0182,35,0.2381
invariant_risk_minimization_proxy,invalid_physical_shift,2,0.6007,0.0189,0.4796,0.0225,0.3888,0.0216,0.3884,0.0133,0.1541,0.0266,0.0701,0.0124,0.0769,0.0147,0.119,0.0136,0.1776,0.0144,0.4361,0.0178,35,0.2024
invariant_risk_minimization_proxy,invalid_physical_shift,3,0.5864,0.0211,0.501,0.0191,0.3905,0.0207,0.3969,0.0194,0.1439,0.0227,0.0745,0.0139,0.0837,0.0185,0.1078,0.0157,0.1772,0.0161,0.4534,0.0162,35,0.2218
invariant_risk_minimization_proxy,invalid_physical_shift,4,0.5935,0.0207,0.4816,0.0178,0.3952,0.0186,0.3718,0.0202,0.1548,0.0265,0.0793,0.0139,0.0755,0.0145,0.1058,0.0115,0.1871,0.0159,0.4534,0.0148,35,0.2313
invariant_risk_minimization_proxy,invalid_physical_shift,5,0.5932,0.0221,0.4827,0.0195,0.3857,0.0201,0.3684,0.0166,0.1646,0.0287,0.0724,0.0122,0.0871,0.0175,0.1221,0.0146,0.1918,0.0118,0.4289,0.0177,35,0.2054
invariant_risk_minimization_proxy,invalid_physical_shift,6,0.601,0.0236,0.4799,0.0227,0.3874,0.0191,0.3891,0.0169,0.1616,0.0282,0.0806,0.016,0.0823,0.0176,0.1099,0.0138,0.1833,0.0136,0.419,0.0163,35,0.2048
invariant_risk_minimization_proxy,nominal,0,0.6367,0.0171,0.5201,0.0187,0.3939,0.0168,0.4129,0.016,0.1075,0.0175,0.0626,0.0127,0.0588,0.0128,0.0741,0.0094,0.1514,0.0143,0.4626,0.0195,35,0.1993
invariant_risk_minimization_proxy,nominal,1,0.6565,0.0201,0.516,0.0145,0.3718,0.0153,0.4245,0.0199,0.1105,0.0197,0.0517,0.0093,0.0537,0.011,0.0663,0.0107,0.1626,0.0135,0.4551,0.0168,35,0.1939
invariant_risk_minimization_proxy,nominal,2,0.651,0.0203,0.5024,0.0185,0.3874,0.0176,0.417,0.0175,0.1085,0.0153,0.0592,0.0109,0.0493,0.0102,0.0612,0.0104,0.1446,0.0128,0.4588,0.0182,35,0.2065
invariant_risk_minimization_proxy,nominal,3,0.6544,0.0221,0.498,0.0184,0.3816,0.0138,0.4201,0.0197,0.1058,0.0196,0.0599,0.0102,0.0531,0.0124,0.0605,0.01,0.1599,0.015,0.4755,0.0161,35,0.1878
invariant_risk_minimization_proxy,nominal,4,0.652,0.0171,0.4973,0.0176,0.3925,0.016,0.4248,0.0223,0.1139,0.0194,0.0588,0.0137,0.0629,0.0116,0.0714,0.011,0.1466,0.0124,0.4769,0.0229,35,0.1891
invariant_risk_minimization_proxy,nominal,5,0.6558,0.0167,0.5112,0.0187,0.3871,0.0186,0.4051,0.0185,0.115,0.0169,0.0592,0.0109,0.0565,0.0103,0.0646,0.0103,0.1395,0.0156,0.4769,0.0174,35,0.1857
invariant_risk_minimization_proxy,nominal,6,0.6395,0.0204,0.5082,0.0182,0.3993,0.0177,0.4214,0.0199,0.1054,0.0192,0.0609,0.0121,0.052,0.009,0.0724,0.0113,0.1517,0.0138,0.4599,0.021,35,0.2014
invariant_risk_minimization_proxy,valid_geometric_shift,0,0.5963,0.0174,0.5048,0.0181,0.3844,0.0149,0.368,0.0155,0.1156,0.0223,0.0769,0.0127,0.0694,0.0157,0.0898,0.0119,0.1704,0.0148,0.4422,0.0193,35,0.2347
invariant_risk_minimization_proxy,valid_geometric_shift,1,0.6316,0.0155,0.5041,0.0178,0.3891,0.0142,0.383,0.0184,0.1207,0.0193,0.0711,0.0116,0.0748,0.0141,0.0925,0.0133,0.1609,0.0121,0.4446,0.0146,35,0.1823
invariant_risk_minimization_proxy,valid_geometric_shift,2,0.6201,0.0183,0.5003,0.0234,0.3963,0.0185,0.3966,0.0188,0.1177,0.0167,0.0646,0.0102,0.0626,0.015,0.0929,0.0127,0.1793,0.0142,0.4571,0.0167,35,0.1895
invariant_risk_minimization_proxy,valid_geometric_shift,3,0.6024,0.0167,0.5071,0.0199,0.3776,0.0226,0.381,0.0159,0.1163,0.0169,0.0697,0.0126,0.0687,0.0134,0.0847,0.0125,0.1694,0.0153,0.4507,0.0192,35,0.2136
invariant_risk_minimization_proxy,valid_geometric_shift,4,0.6316,0.0152,0.5126,0.0176,0.3673,0.019,0.366,0.0225,0.1262,0.0211,0.0684,0.012,0.0745,0.0121,0.0878,0.0118,0.1735,0.0126,0.4412,0.0145,35,0.1789
invariant_risk_minimization_proxy,valid_geometric_shift,5,0.615,0.0212,0.4929,0.0219,0.3806,0.0164,0.4,0.0195,0.1255,0.0194,0.0701,0.0119,0.0622,0.012,0.0905,0.0114,0.1793,0.0129,0.4537,0.0156,35,0.2
invariant_risk_minimization_proxy,valid_geometric_shift,6,0.617,0.0207,0.5027,0.0235,0.3939,0.0222,0.3905,0.0228,0.1153,0.0173,0.0673,0.0151,0.0813,0.0158,0.0844,0.0119,0.1687,0.0112,0.4435,0.0158,35,0.1912
invariant_risk_minimization_proxy,valid_perceptual_shift,0,0.6286,0.0187,0.502,0.0153,0.3718,0.0201,0.3952,0.0188,0.1119,0.0185,0.0646,0.0119,0.0646,0.0127,0.0881,0.0135,0.1701,0.0123,0.4534,0.0177,35,0.1932
invariant_risk_minimization_proxy,valid_perceptual_shift,1,0.6235,0.0194,0.5061,0.0205,0.3925,0.0154,0.3867,0.0167,0.1065,0.0189,0.0626,0.0117,0.0663,0.0117,0.0799,0.0125,0.1684,0.0152,0.4476,0.0157,35,0.1939
invariant_risk_minimization_proxy,valid_perceptual_shift,2,0.6136,0.0226,0.5126,0.0206,0.3908,0.0135,0.3861,0.0186,0.1078,0.0177,0.0626,0.0094,0.0707,0.0151,0.0881,0.0113,0.1789,0.0129,0.466,0.0152,35,0.2054
invariant_risk_minimization_proxy,valid_perceptual_shift,3,0.6364,0.0193,0.5041,0.0181,0.3827,0.0182,0.3939,0.0185,0.1017,0.019,0.0639,0.0095,0.0609,0.0133,0.0901,0.0117,0.1735,0.0135,0.448,0.0178,35,0.1922
invariant_risk_minimization_proxy,valid_perceptual_shift,4,0.6105,0.0148,0.4816,0.0218,0.3969,0.0198,0.3929,0.017,0.1187,0.017,0.0595,0.0118,0.0595,0.0114,0.0901,0.0128,0.1721,0.0151,0.4497,0.0188,35,0.2095
invariant_risk_minimization_proxy,valid_perceptual_shift,5,0.618,0.0191,0.5,0.019,0.3864,0.019,0.3813,0.015,0.115,0.0195,0.0646,0.0121,0.0622,0.0127,0.0867,0.0102,0.1609,0.0117,0.452,0.017,35,0.1997
invariant_risk_minimization_proxy,valid_perceptual_shift,6,0.6241,0.0203,0.4952,0.0217,0.3912,0.0181,0.3969,0.0217,0.1112,0.0178,0.0643,0.0118,0.0585,0.0105,0.0915,0.0091,0.1752,0.0128,0.4493,0.0214,35,0.1932
no_invariance_behavior_clone,combined_invariance_stress,0,0.5384,0.0173,0.2541,0.0175,0.4272,0.0145,0.3082,0.0154,0.148,0.0246,0.0782,0.0132,0.0724,0.0126,0.1313,0.0171,0.1935,0.0155,0.2663,0.0178,35,0.2551
no_invariance_behavior_clone,combined_invariance_stress,1,0.5405,0.0245,0.2609,0.0197,0.4439,0.0194,0.3204,0.0167,0.1497,0.0237,0.0803,0.0155,0.0813,0.0146,0.1279,0.0179,0.1755,0.0124,0.2646,0.0149,35,0.2537
no_invariance_behavior_clone,combined_invariance_stress,2,0.5139,0.0206,0.2609,0.0188,0.4306,0.019,0.3139,0.0166,0.1459,0.0229,0.084,0.0157,0.083,0.0147,0.1429,0.0177,0.1762,0.0109,0.2874,0.0194,35,0.2755
no_invariance_behavior_clone,combined_invariance_stress,3,0.5252,0.0224,0.25,0.021,0.4265,0.0205,0.3061,0.0172,0.1391,0.021,0.0973,0.0162,0.0827,0.0148,0.119,0.0165,0.1871,0.0166,0.2741,0.0153,35,0.2755
no_invariance_behavior_clone,combined_invariance_stress,4,0.5299,0.0186,0.2476,0.014,0.4323,0.0166,0.3282,0.0137,0.149,0.022,0.0861,0.0149,0.0799,0.0147,0.1245,0.0152,0.1827,0.0147,0.2786,0.0157,35,0.2449
no_invariance_behavior_clone,combined_invariance_stress,5,0.5245,0.0259,0.2517,0.0175,0.4364,0.0209,0.3293,0.0184,0.1514,0.0217,0.0932,0.0174,0.0837,0.0153,0.1293,0.0177,0.1796,0.0133,0.2769,0.017,35,0.2622
no_invariance_behavior_clone,combined_invariance_stress,6,0.5272,0.0188,0.2493,0.0169,0.4371,0.0213,0.3262,0.0177,0.1463,0.026,0.0881,0.0158,0.0857,0.0182,0.1367,0.0168,0.1759,0.0114,0.2803,0.017,35,0.2561
no_invariance_behavior_clone,invalid_physical_shift,0,0.5303,0.0181,0.265,0.0173,0.4432,0.0217,0.3262,0.0162,0.15,0.0271,0.0796,0.016,0.0823,0.0143,0.1187,0.018,0.1714,0.0147,0.2833,0.0153,35,0.2755
no_invariance_behavior_clone,invalid_physical_shift,1,0.5408,0.0188,0.2619,0.0151,0.4548,0.0185,0.3303,0.0164,0.1418,0.0209,0.0861,0.0122,0.0762,0.0156,0.1252,0.0146,0.168,0.0148,0.2895,0.0179,35,0.2759
no_invariance_behavior_clone,invalid_physical_shift,2,0.5456,0.0196,0.2629,0.0161,0.4384,0.0174,0.331,0.0153,0.1503,0.028,0.0776,0.0147,0.0704,0.0124,0.1211,0.0142,0.167,0.0127,0.2738,0.0161,35,0.2575
no_invariance_behavior_clone,invalid_physical_shift,3,0.5442,0.0197,0.2687,0.0141,0.4463,0.0182,0.3276,0.014,0.1486,0.0229,0.0918,0.0151,0.0895,0.0166,0.1184,0.0172,0.1816,0.0148,0.2721,0.0152,35,0.2639
no_invariance_behavior_clone,invalid_physical_shift,4,0.5378,0.0207,0.2629,0.0158,0.4408,0.0201,0.3207,0.0194,0.151,0.0273,0.0776,0.0147,0.0857,0.0163,0.1211,0.019,0.1718,0.0116,0.2776,0.018,35,0.2871
no_invariance_behavior_clone,invalid_physical_shift,5,0.5374,0.0226,0.2463,0.0187,0.4408,0.0207,0.3269,0.0152,0.1446,0.0285,0.0772,0.0142,0.0721,0.0127,0.1272,0.0137,0.1687,0.0111,0.2959,0.0143,35,0.2612
no_invariance_behavior_clone,invalid_physical_shift,6,0.5384,0.0213,0.2503,0.0202,0.4347,0.0145,0.3361,0.0184,0.1548,0.0247,0.084,0.0167,0.0793,0.0152,0.1136,0.0165,0.1769,0.0121,0.2724,0.0139,35,0.2673
no_invariance_behavior_clone,nominal,0,0.5959,0.0147,0.2721,0.0177,0.451,0.0178,0.3738,0.0213,0.1024,0.0159,0.068,0.0112,0.0643,0.0106,0.0762,0.0136,0.1435,0.0135,0.3034,0.0186,35,0.2401
no_invariance_behavior_clone,nominal,1,0.5881,0.0171,0.2823,0.0178,0.4497,0.0171,0.3728,0.0159,0.1088,0.0187,0.0701,0.0128,0.0551,0.012,0.0735,0.0123,0.131,0.0119,0.2912,0.0203,35,0.2622
no_invariance_behavior_clone,nominal,2,0.6,0.0158,0.2772,0.0183,0.4422,0.0175,0.3711,0.0168,0.102,0.0171,0.0588,0.0109,0.0578,0.0113,0.068,0.0097,0.1435,0.0155,0.2922,0.0167,35,0.2575
no_invariance_behavior_clone,nominal,3,0.5993,0.0197,0.2782,0.0193,0.4565,0.0174,0.368,0.0189,0.1061,0.0163,0.0752,0.0137,0.0599,0.0121,0.0656,0.0128,0.1459,0.0134,0.3024,0.0165,35,0.2429
no_invariance_behavior_clone,nominal,4,0.6003,0.0199,0.2874,0.0186,0.4333,0.0194,0.3684,0.0169,0.0993,0.017,0.0656,0.0104,0.0554,0.012,0.0653,0.0092,0.1422,0.0135,0.2986,0.0169,35,0.2408
no_invariance_behavior_clone,nominal,5,0.5827,0.0199,0.2782,0.0175,0.4401,0.0241,0.3762,0.0175,0.1017,0.0146,0.0602,0.0108,0.0527,0.0109,0.0765,0.0138,0.1405,0.0117,0.2912,0.016,35,0.2588
no_invariance_behavior_clone,nominal,6,0.5908,0.0164,0.282,0.0145,0.4347,0.0208,0.3459,0.0192,0.099,0.0145,0.0619,0.0104,0.0571,0.0101,0.065,0.0123,0.1439,0.0122,0.3054,0.0237,35,0.25
no_invariance_behavior_clone,valid_geometric_shift,0,0.5531,0.0214,0.2803,0.0149,0.4286,0.0207,0.3554,0.0187,0.1088,0.0158,0.0667,0.0127,0.0639,0.0115,0.1041,0.0116,0.1633,0.0153,0.2881,0.019,35,0.2779
no_invariance_behavior_clone,valid_geometric_shift,1,0.5701,0.0154,0.2619,0.0152,0.4282,0.0174,0.3486,0.0172,0.101,0.0141,0.0724,0.0123,0.0636,0.0125,0.0881,0.0107,0.1711,0.0141,0.2895,0.0151,35,0.2439
no_invariance_behavior_clone,valid_geometric_shift,2,0.5721,0.0187,0.2745,0.0164,0.4289,0.0217,0.3371,0.0173,0.1262,0.0189,0.0762,0.0124,0.0701,0.0119,0.0779,0.0108,0.1609,0.016,0.2884,0.0185,35,0.2374
no_invariance_behavior_clone,valid_geometric_shift,3,0.5704,0.0177,0.269,0.0153,0.419,0.0203,0.3357,0.0177,0.1116,0.0175,0.067,0.0114,0.0619,0.0107,0.0929,0.0119,0.1646,0.0139,0.2759,0.0138,35,0.2456
no_invariance_behavior_clone,valid_geometric_shift,4,0.5622,0.0199,0.2578,0.0124,0.4204,0.0191,0.3565,0.0198,0.1071,0.0176,0.0724,0.014,0.0728,0.0122,0.0973,0.0141,0.1636,0.012,0.2922,0.0183,35,0.2483
no_invariance_behavior_clone,valid_geometric_shift,5,0.5694,0.0187,0.2707,0.0183,0.4313,0.017,0.3459,0.0176,0.1037,0.0166,0.0772,0.0136,0.0646,0.0119,0.1014,0.0136,0.1731,0.014,0.2738,0.0166,35,0.2456
